Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
KNN-9,OSTEO,duloxetine_v_nopain,0.6153846153846154,,0.5384615384615384,0.7179487179487181,0.7179487179487181,0.41025641025641024,0.4871794871794872,0.41025641025641024,0.6153846153846154,0.5128205128205128,0.05128205128205132,0.015384615384615441,-0.008547008547008517,0.2051282051282053,0.2051282051282053,0.10256410256410264
KNN-10,OSTEO,duloxetine_v_nopain,0.5384615384615384,,0.5641025641025641,0.7179487179487181,0.7179487179487181,0.38461538461538464,0.4871794871794872,0.5128205128205128,0.5641025641025641,0.5128205128205128,0.04807692307692313,0.020512820512820662,0.008547008547008628,0.2051282051282053,0.2051282051282053,0.05128205128205132
KNN-20,OSTEO,duloxetine_v_nopain,0.5641025641025641,,0.6153846153846154,0.7179487179487181,0.5897435897435898,0.15384615384615385,0.5128205128205128,0.5384615384615384,0.6923076923076923,0.5128205128205128,0.03525641025641035,-0.01538461538461533,0.06837606837606836,0.2051282051282053,0.17948717948717952,0.17948717948717952
Logistic Regression,OSTEO,duloxetine_v_pain,0.625,,0.6607142857142857,0.6607142857142857,0.6607142857142857,0.6607142857142857,0.6607142857142857,0.6964285714285714,0.7142857142857143,0.6607142857142857,0.006696428571428603,0.017857142857142905,0.029761904761904878,0.0535714285714286,0.0535714285714286,0.0535714285714286
LDA,OSTEO,duloxetine_v_pain,0.3928571428571429,,0.6607142857142857,0.5178571428571429,0.6428571428571429,0.6071428571428571,0.6607142857142857,0.5,0.625,0.6607142857142857,-0.08482142857142849,-0.0535714285714286,-0.06547619047619047,0.0,0.0,0.0
SVM,OSTEO,duloxetine_v_pain,0.6428571428571429,,0.6607142857142857,0.6607142857142857,0.4642857142857143,0.7142857142857143,0.6607142857142857,0.6607142857142857,0.7321428571428571,0.6607142857142857,-0.011160714285714302,-0.014285714285714235,0.023809523809523725,0.0714285714285714,0.0714285714285714,0.0714285714285714
KNN-1,OSTEO,duloxetine_v_pain,0.5,,0.4642857142857143,0.6607142857142857,0.5178571428571429,0.44642857142857145,0.3392857142857143,0.5892857142857143,0.5535714285714286,0.6607142857142857,-0.1517857142857142,-0.17142857142857126,-0.16666666666666663,0.0,-0.0714285714285714,-0.0714285714285714
KNN-2,OSTEO,duloxetine_v_pain,0.4821428571428572,,0.4107142857142857,0.42857142857142855,0.5178571428571429,0.44642857142857145,0.3392857142857143,0.3928571428571429,0.5357142857142857,0.6607142857142857,-0.2165178571428571,-0.21428571428571425,-0.23809523809523808,-0.125,-0.125,-0.125
KNN-3,OSTEO,duloxetine_v_pain,0.5535714285714286,,0.4821428571428572,0.5,0.4642857142857143,0.4107142857142857,0.3392857142857143,0.5357142857142857,0.6607142857142857,0.6607142857142857,-0.1674107142857143,-0.1785714285714286,-0.14880952380952384,0.0,0.0,0.0
KNN-4,OSTEO,duloxetine_v_pain,0.5,,0.5357142857142857,0.35714285714285715,0.4107142857142857,0.4107142857142857,0.3392857142857143,0.5178571428571429,0.6428571428571429,0.6607142857142857,-0.19642857142857145,-0.19642857142857145,-0.1607142857142857,-0.017857142857142794,-0.017857142857142794,-0.017857142857142794
