Algorithm,Dataset,Comparison,Raw Eigs,Unfolded,Largest,Largest20,Noise,Noise (shift),Brody,Rigidity,Levelvar,Guess,Mean (all),Mean (obs),Mean (spec),Max (all),Max (obs),Max (spec)
Logistic Regression,PSYCH_VIGILANCE_SES-1,high_v_low,0.4886363636363637,0.3977272727272727,0.5454545454545454,0.5113636363636364,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.4886363636363637,0.5454545454545454,-0.03282828282828287,-0.011363636363636354,-0.018939393939393923,0.0,0.0,0.0
LDA,PSYCH_VIGILANCE_SES-1,high_v_low,0.4545454545454545,0.4318181818181818,0.5454545454545454,0.5113636363636364,0.5454545454545454,0.6818181818181818,0.0,0.6022727272727273,0.2840909090909091,0.5454545454545454,-0.09469696969696967,-0.12272727272727274,-0.24999999999999994,0.13636363636363635,0.13636363636363635,0.05681818181818188
SVM,PSYCH_VIGILANCE_SES-1,high_v_low,0.5795454545454546,0.5454545454545454,0.5909090909090909,0.5568181818181818,0.6477272727272727,0.6590909090909091,0.5454545454545454,0.5454545454545454,0.375,0.5454545454545454,0.015151515151515138,0.009090909090909038,-0.05681818181818182,0.11363636363636365,0.11363636363636365,0.0
KNN-1,PSYCH_VIGILANCE_SES-1,high_v_low,0.6022727272727273,0.4545454545454545,0.5,0.5681818181818182,0.4659090909090909,0.4886363636363637,0.4545454545454545,0.5,0.5340909090909091,0.5454545454545454,-0.037878787878787845,-0.05681818181818177,-0.049242424242424254,0.05681818181818188,-0.011363636363636354,-0.011363636363636354
KNN-2,PSYCH_VIGILANCE_SES-1,high_v_low,0.5795454545454546,0.5454545454545454,0.5568181818181818,0.5454545454545454,0.5227272727272727,0.5454545454545454,0.5454545454545454,0.5568181818181818,0.5340909090909091,0.5454545454545454,0.002525252525252486,-0.004545454545454519,0.0,0.03409090909090917,0.011363636363636354,0.011363636363636354
KNN-3,PSYCH_VIGILANCE_SES-1,high_v_low,0.5681818181818182,0.4886363636363637,0.5454545454545454,0.6136363636363636,0.5,0.5568181818181818,0.5454545454545454,0.5795454545454546,0.5227272727272727,0.5454545454545454,0.0012626262626262985,-0.00454545454545463,0.0037878787878787845,0.06818181818181823,0.03409090909090917,0.03409090909090917
KNN-4,PSYCH_VIGILANCE_SES-1,high_v_low,0.5340909090909091,0.5,0.6363636363636364,0.5340909090909091,0.5454545454545454,0.5681818181818182,0.5454545454545454,0.5795454545454546,0.5,0.5454545454545454,0.0037878787878788955,0.002272727272727315,-0.0037878787878787845,0.09090909090909094,0.03409090909090917,0.03409090909090917
KNN-5,PSYCH_VIGILANCE_SES-1,high_v_low,0.5227272727272727,0.4886363636363637,0.6136363636363636,0.5227272727272727,0.5113636363636364,0.5,0.5454545454545454,0.5113636363636364,0.5113636363636364,0.5454545454545454,-0.02020202020202022,-0.02954545454545454,-0.022727272727272818,0.06818181818181823,0.0,0.0
KNN-6,PSYCH_VIGILANCE_SES-1,high_v_low,0.5454545454545454,0.5340909090909091,0.6363636363636364,0.5681818181818182,0.5113636363636364,0.5568181818181818,0.5454545454545454,0.5227272727272727,0.5113636363636364,0.5454545454545454,0.002525252525252597,-0.015909090909090873,-0.018939393939393923,0.09090909090909094,0.011363636363636354,0.0
KNN-7,PSYCH_VIGILANCE_SES-1,high_v_low,0.5454545454545454,0.4886363636363637,0.5795454545454546,0.5681818181818182,0.5795454545454546,0.5795454545454546,0.5454545454545454,0.5,0.4659090909090909,0.5454545454545454,-0.0063131313131312705,-0.011363636363636354,-0.04166666666666663,0.03409090909090917,0.03409090909090917,0.0
KNN-8,PSYCH_VIGILANCE_SES-1,high_v_low,0.5340909090909091,0.4659090909090909,0.6022727272727273,0.5340909090909091,0.5681818181818182,0.5909090909090909,0.5454545454545454,0.4659090909090909,0.4886363636363637,0.5454545454545454,-0.012626262626262652,-0.013636363636363558,-0.045454545454545414,0.05681818181818188,0.045454545454545525,0.0
KNN-9,PSYCH_VIGILANCE_SES-1,high_v_low,0.5113636363636364,0.5113636363636364,0.5340909090909091,0.4545454545454545,0.4659090909090909,0.5795454545454546,0.5454545454545454,0.4318181818181818,0.4886363636363637,0.5454545454545454,-0.04292929292929304,-0.04318181818181821,-0.05681818181818171,0.03409090909090917,0.03409090909090917,0.0
KNN-10,PSYCH_VIGILANCE_SES-1,high_v_low,0.4318181818181818,0.5340909090909091,0.5568181818181818,0.4090909090909091,0.4318181818181818,0.5681818181818182,0.5454545454545454,0.4545454545454545,0.5227272727272727,0.5454545454545454,-0.0505050505050505,-0.040909090909090895,-0.037878787878787956,0.022727272727272818,0.022727272727272818,0.0
KNN-20,PSYCH_VIGILANCE_SES-1,high_v_low,0.4772727272727273,0.5,0.4772727272727273,0.4886363636363637,0.6022727272727273,0.625,0.5454545454545454,0.3977272727272727,0.4090909090909091,0.5454545454545454,-0.04292929292929293,-0.02954545454545454,-0.09469696969696967,0.07954545454545459,0.07954545454545459,0.0
Logistic Regression,PSYCH_VIGILANCE_SES-2,high_v_low,0.4545454545454545,0.4886363636363637,0.5,0.4431818181818182,0.0,0.0,0.0,0.19318181818181815,0.5227272727272727,0.5,-0.21085858585858586,-0.3568181818181818,-0.26136363636363635,0.022727272727272707,0.022727272727272707,0.022727272727272707
LDA,PSYCH_VIGILANCE_SES-2,high_v_low,0.5113636363636364,0.5454545454545454,0.4090909090909091,0.4659090909090909,0.4772727272727273,0.5113636363636364,0.0,0.4886363636363637,0.3068181818181818,0.5,-0.08712121212121215,-0.1431818181818182,-0.2348484848484848,0.045454545454545414,0.011363636363636354,-0.011363636363636298
SVM,PSYCH_VIGILANCE_SES-2,high_v_low,0.5227272727272727,0.0,0.6363636363636364,0.5340909090909091,0.5795454545454546,0.5454545454545454,0.0,0.0,0.5568181818181818,0.5,-0.125,-0.1636363636363637,-0.31439393939393945,0.13636363636363635,0.07954545454545459,0.05681818181818177
KNN-1,PSYCH_VIGILANCE_SES-2,high_v_low,0.5227272727272727,0.5681818181818182,0.5909090909090909,0.5227272727272727,0.5113636363636364,0.5,0.5,0.4659090909090909,0.4431818181818182,0.5,0.01388888888888884,-0.01590909090909093,-0.03030303030303033,0.09090909090909094,0.011363636363636354,0.0
KNN-2,PSYCH_VIGILANCE_SES-2,high_v_low,0.4659090909090909,0.4659090909090909,0.5681818181818182,0.4886363636363637,0.4886363636363637,0.4545454545454545,0.5,0.5454545454545454,0.5681818181818182,0.5,0.005050505050505083,0.011363636363636354,0.037878787878787956,0.06818181818181823,0.06818181818181823,0.06818181818181823
KNN-3,PSYCH_VIGILANCE_SES-2,high_v_low,0.4431818181818182,0.4772727272727273,0.6363636363636364,0.4090909090909091,0.5,0.4772727272727273,0.5,0.5113636363636364,0.5227272727272727,0.5,-0.002525252525252597,0.002272727272727315,0.011363636363636354,0.13636363636363635,0.022727272727272707,0.022727272727272707
KNN-4,PSYCH_VIGILANCE_SES-2,high_v_low,0.4659090909090909,0.4886363636363637,0.5681818181818182,0.4659090909090909,0.5227272727272727,0.5,0.5,0.5227272727272727,0.5681818181818182,0.5,0.011363636363636354,0.022727272727272707,0.030303030303030276,0.06818181818181823,0.06818181818181823,0.06818181818181823
